product_id,creator_id,status,name,note,description_list,description_detail,search_word,free_area,del_flg,create_date,update_date
1,1,1,アイスクリーム,,暑い夏にどうぞ。,冷たいものはいかがですか?,,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
2,1,1,おなべ,,一人用からあります。,たまには鍋でもどうでしょう。,,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
3,1,1,おなべレシピ,,あの、秘伝のお鍋レシピです。,"<b>この商品はダウンロード商品です</b><br />自分でチャレンジしてみたい方に。",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
4,1,1,ゆかた(男物),,墨色の無地。帯は金茶を使用してみました。,"墨色の無地。帯は金茶を使用してみました。<div style=""padding: 1em;margin-top:10px; border: 1px solid #F48686; background: #FEFCFC;""><p>浴衣は所属店舗のみのお取扱いとなります。<br />商品のお問合せは、下記所属店舗までご連絡下さい。</p><p style=""font-size:1.25em; font-weight:bold;"">池袋店:03-6416-0529</p><p>※着付予約のない場合、毎週火曜は定休日となります。</p></div>",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
5,1,1,ゆかた(男物),,青は葉のデザイン化されたもの、紺の部分は紐をつけた瓢箪です。サイズ:Lサイズ身　長:170ーー175ー位の方,"青は葉のデザイン化されたもの、紺の部分は紐をつけた瓢箪です。<div style=""padding: 1em;margin-top:10px; border: 1px solid #F48686; background: #FEFCFC;""><p>浴衣は所属店舗のみのお取扱いとなります。<br />商品のお問合せは、下記所属店舗までご連絡下さい。</p><p style=""font-size:1.25em; font-weight:bold;"">池袋店:03-6416-0529</p><p>※着付予約のない場合、毎週火曜は定休日となります。</p></div>",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
6,1,1,ゆかた(男物),,綿、麻入り、ちぢみのような生地、紺と青のストライプです。サイズ:Lサイズ身　長:170ーー175ー位の方,"綿、麻入り、ちぢみのような生地、紺と青のストライプです。<div style=""padding: 1em;margin-top:10px; border: 1px solid #F48686; background: #FEFCFC;""><p>浴衣は所属店舗のみのお取扱いとなります。<br />商品のお問合せは、下記所属店舗までご連絡下さい。</p><p style=""font-size:1.25em; font-weight:bold;"">池袋店:03-6416-0529</p><p>※着付予約のない場合、毎週火曜は定休日となります。</p></div>",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
7,1,1,ゆかた(男物),,ブルーグレー地、白い枡目、所所に張り子の虎があります。サイズ:Lサイズ身　長:170ーー175ー位の方,"ブルーグレー地、白い枡目、所所に張り子の虎があります。<div style=""padding: 1em;margin-top:10px; border: 1px solid #F48686; background: #FEFCFC;""><p>浴衣は所属店舗のみのお取扱いとなります。<br />商品のお問合せは、下記所属店舗までご連絡下さい。</p><p style=""font-size:1.25em; font-weight:bold;"">池袋店:03-6416-0529</p><p>※着付予約のない場合、毎週火曜は定休日となります。</p></div>",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
8,1,1,ゆかた(男物),,青地に水色の細かい縦横の線が入っています。幾重にも重なった枡と円の柄です。サイズ:Lサイズ身　長:170ーー175ー位の方,"青地に水色の細かい縦横の線が入っています。幾重にも重なった枡と円の柄です。<div style=""padding: 1em;margin-top:10px; border: 1px solid #F48686; background: #FEFCFC;""><p>浴衣は所属店舗のみのお取扱いとなります。<br />商品のお問合せは、下記所属店舗までご連絡下さい。</p><p style=""font-size:1.25em; font-weight:bold;"">池袋店:03-6416-0529</p><p>※着付予約のない場合、毎週火曜は定休日となります。</p></div>",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
9,1,1,ゆかた(男物),,緑の入った黒地、かるたの中にいろいろな表情の虎の顔です。サイズ:Lサイズ身　長:170ーー175ー位の方,"緑の入った黒地、かるたの中にいろいろな表情の虎の顔です。<div style=""padding: 1em;margin-top:10px; border: 1px solid #F48686; background: #FEFCFC;""><p>浴衣は所属店舗のみのお取扱いとなります。<br />商品のお問合せは、下記所属店舗までご連絡下さい。</p><p style=""font-size:1.25em; font-weight:bold;"">池袋店:03-6416-0529</p><p>※着付予約のない場合、毎週火曜は定休日となります。</p></div>",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
10,1,1,ゆかた(男物),,青と紺の大きな格子柄です。サイズ:Lサイズ身　長:170ーー175ー位の方,"青と紺の大きな格子柄です。<div style=""padding: 1em;margin-top:10px; border: 1px solid #F48686; background: #FEFCFC;""><p>浴衣は所属店舗のみのお取扱いとなります。<br />商品のお問合せは、下記所属店舗までご連絡下さい。</p><p style=""font-size:1.25em; font-weight:bold;"">池袋店:03-6416-0529</p><p>※着付予約のない場合、毎週火曜は定休日となります。</p></div>",,,1,"2017-03-14 18:38:41","2017-03-14 18:38:41"
