order_detail_additional_info_id,order_id,order_detail_id,product_class_id,order_type,wear_date,purpose,body_height,foot_size,body_type,secure_pack,need_photo,need_hair_make,date_visit,time_departure,visit_store,actual_price,before_use_days,after_use_days,decade
1,214,345,2279,visit,2017-06-30,パーティ,185cm,30.0cm,,"安心パックに加入する(+1,080円)",希望しない,希望しない,,11:00,渋谷本店,37800.00,1,1,
2,216,348,567,visit,2017-07-15,,,,,,,,,,横浜店,,,,
3,217,349,567,visit,2017-07-15,,,,,,,,,,横浜店,,4,4,
4,218,350,567,visit,2017-07-15,,,,,,,,,,横浜店,,4,4,
5,219,351,567,visit,2017-07-15,,,,,,,,,,横浜店,,4,4,
6,220,352,567,visit,2017-07-15,,,,,,,,,,横浜店,,4,4,
7,221,353,567,visit,2017-07-15,,,,,,,,,,横浜店,,4,4,
8,222,354,567,visit,2017-07-15,,,,,,,,,,横浜店,,4,4,
9,223,355,567,visit,2017-07-15,,,,,,,,,,横浜店,,5,2017,
10,224,356,567,visit,2017-07-15,,,,,,,,,,横浜店,,3,5,
11,226,358,2928,visit,2017-07-01,,,,,,,,,,横浜店,,0,14,
12,227,359,2928,visit,2017-07-26,成人式,200cm以上,31.5cm,,,希望しない,希望しない,,10:00,横浜店,,2,14,
13,228,360,2928,visit,2017-07-02,,,,,,,,,,横浜店,,1,13,
14,229,361,2546,visit,2017-07-02,,,,,,,,,,銀座店,,1,13,
15,230,362,1853,visit,2017-07-02,,,,,,,,,,横浜店,,1,13,
16,231,363,1853,visit,2017-07-02,,,,,,,,,,横浜店,,1,13,
17,232,364,1854,visit,2017-07-02,,,,,,,,,,横浜店,,1,13,
18,233,365,2384,visit,2017-07-02,,,,,,,,,,銀座店,,1,13,
19,234,366,903,visit,2017-07-02,,,,,,,,,,渋谷本店,,1,11,
20,235,367,1824,visit,2017-07-02,,,,,,,,,,横浜店,,1,13,
21,236,368,635,visit,2017-07-02,,,,,,,,,,池袋店,,1,9,
22,237,369,437,visit,2017-07-02,,,,,,,,,,池袋店,,1,9,
23,238,370,3278,visit,2017-07-02,,,,,,,,,,池袋店,,1,9,
24,239,371,3266,visit,2017-07-02,,,,,,,,,,池袋店,,1,11,
25,240,372,1884,visit,2017-07-02,,,,,,,,,,渋谷本店,,1,11,
26,241,373,2235,visit,2017-07-02,,,,,,,,,,渋谷本店,,1,12,
27,242,374,655,visit,2017-07-02,,,,,,,,,,渋谷本店,,1,13,
28,243,375,1718,visit,2017-07-02,,,,,,,,,,横浜店,,1,13,
29,244,376,1756,visit,2017-07-03,,,,,,,,,,渋谷本店,,1,12,
30,245,377,1848,visit,2017-07-03,,,,,,,,,,横浜店,,1,13,
31,246,378,2169,visit,2017-07-03,,,,,,,,,,銀座店,,1,13,
32,247,379,655,visit,2017-07-04,,,,,,,,,,渋谷本店,,1,9,
33,248,380,3035,visit,2017-07-04,,,,,,,,,,銀座店,,1,9,
34,249,381,3152,visit,2017-07-04,,,,,,,,,,渋谷本店,,1,9,
35,250,382,1389,visit,2017-07-04,,,,,,,,,,渋谷本店,,1,8,
36,251,383,2787,visit,2017-07-04,,,,,,,,,,渋谷本店,,1,9,
37,252,384,3059,visit,2017-07-04,,,,,,,,,,銀座店,,1,9,
38,253,385,339,visit,2017-07-04,,,,,,,,,,渋谷本店,,1,11,
39,254,386,1884,visit,2017-07-05,,,,,,,,,,渋谷本店,,1,7,
40,255,387,2235,visit,2017-07-05,,,,,,,,,,渋谷本店,,1,7,
41,256,388,519,visit,2017-07-05,,,,,,,,,,渋谷本店,,1,7,
42,257,389,1485,visit,2017-07-05,,,,,,,,,,渋谷本店,,1,7,
43,258,390,3141,visit,2017-07-05,,,,,,,,,,渋谷本店,,1,9,
44,259,391,1656,visit,2017-07-05,,,,,,,,,,渋谷本店,,1,8,
45,260,392,3088,visit,2017-07-05,,,,,,,,,,銀座店,,1,8,
46,261,393,3115,visit,2017-07-05,,,,,,,,,,銀座店,,1,8,
47,262,394,3059,visit,2017-07-05,,,,,,,,,,銀座店,,1,8,
48,263,395,3035,visit,2017-07-05,,,,,,,,,,銀座店,,1,8,
49,264,396,2391,visit,2017-07-06,,,,,,,,,,銀座店,,1,8,
50,265,397,1005,visit,2017-07-07,,,,,,,,,,渋谷本店,,1,9,
51,266,398,651,visit,2017-07-08,,,,,,,,,,渋谷本店,,1,11,
52,267,399,3578,visit,2017-07-08,,,,,,,,,,池袋店,,1,14,
53,268,400,3142,visit,2017-07-08,,,,,,,,,,渋谷本店,,1,9,
54,269,401,1562,visit,2017-07-09,,,,,,,,,,横浜店,,1,13,
55,270,402,1863,visit,2017-07-09,,,,,,,,,,横浜店,,1,13,
56,271,403,1129,visit,2017-07-09,,,,,,,,,,渋谷本店,,1,13,
57,272,404,2165,visit,2017-07-09,,,,,,,,,,横浜店,,1,13,
58,273,405,542,visit,2017-07-09,,,,,,,,,,横浜店,,1,13,
59,274,406,643,visit,2017-07-09,,,,,,,,,,渋谷本店,,1,12,
60,275,407,1820,visit,2017-07-10,,,,,,,,,,横浜店,,1,13,
61,276,408,3259,visit,2017-07-11,,,,,,,,,,池袋店,,1,9,
62,277,409,2204,visit,2017-07-12,,,,,,,,,,渋谷本店,,1,7,
63,278,410,313,visit,2017-07-12,,,,,,,,,,渋谷本店,,1,7,
64,279,411,1389,visit,2017-07-13,,,,,,,,,,渋谷本店,,1,7,
65,280,412,1030,visit,2017-07-13,,,,,,,,,,渋谷本店,,1,7,
66,281,413,3125,visit,2017-07-13,,,,,,,,,,横浜店,,1,5,
67,282,414,735,visit,2017-07-13,,,,,,,,,,横浜店,,1,5,
68,283,415,796,visit,2017-07-13,,,,,,,,,,横浜店,,1,5,
69,284,416,613,visit,2017-07-13,,,,,,,,,,横浜店,,1,5,
70,285,417,824,visit,2017-07-13,,,,,,,,,,横浜店,,1,5,
71,286,418,3166,visit,2017-07-14,,,,,,,,,,渋谷本店,,1,9,
72,287,419,3124,visit,2017-07-14,,,,,,,,,,横浜店,,1,4,
73,288,420,3126,visit,2017-07-14,,,,,,,,,,横浜店,,1,4,
74,289,421,1293,visit,2017-07-14,,,,,,,,,,渋谷本店,,1,9,
75,290,422,3119,visit,2017-07-14,,,,,,,,,,横浜店,,1,5,
76,291,423,1293,visit,2017-07-15,,,,,,,,,,渋谷本店,,1,9,
77,292,424,1451,visit,2017-07-15,,,,,,,,,,渋谷本店,,1,13,
78,293,425,740,visit,2017-07-15,,,,,,,,,,横浜店,,1,5,
79,294,426,3104,visit,2017-07-15,,,,,,,,,,横浜店,,1,5,
80,295,427,1367,visit,2017-07-15,,,,,,,,,,渋谷本店,,1,12,
81,296,428,666,visit,2017-07-16,,,,,,,,,,横浜店,,1,13,
82,297,429,1208,visit,2017-07-16,,,,,,,,,,横浜店,,1,13,
83,298,430,2515,visit,2017-07-16,,,,,,,,,,銀座店,,1,13,
84,299,431,1898,visit,2017-07-16,,,,,,,,,,横浜店,,1,13,
85,300,432,1909,visit,2017-07-16,,,,,,,,,,横浜店,,1,13,
86,301,433,542,visit,2017-07-16,,,,,,,,,,横浜店,,1,13,
87,302,434,648,visit,2017-07-16,,,,,,,,,,横浜店,,1,13,
88,303,435,692,visit,2017-07-16,,,,,,,,,,横浜店,,1,13,
89,304,436,655,visit,2017-07-16,,,,,,,,,,渋谷本店,,1,9,
90,305,437,1730,visit,2017-07-16,,,,,,,,,,横浜店,,1,7,
91,306,438,2440,visit,2017-07-17,,,,,,,,,,銀座店,,1,13,
92,307,439,3146,visit,2017-07-17,,,,,,,,,,渋谷本店,,1,12,
93,308,440,3287,visit,2017-07-17,,,,,,,,,,池袋店,,1,10,
94,309,441,3155,visit,2017-07-17,,,,,,,,,,渋谷本店,,1,8,
95,310,442,1508,visit,2017-07-18,,,,,,,,,,横浜店,,1,9,
96,311,443,3141,visit,2017-07-18,,,,,,,,,,渋谷本店,,1,11,
97,312,444,3280,visit,2017-07-18,,,,,,,,,,池袋店,,1,9,
98,313,445,1837,visit,2017-07-19,,,,,,,,,,渋谷本店,,1,7,
99,314,446,776,visit,2017-07-19,,,,,,,,,,渋谷本店,,1,7,
100,315,447,890,visit,2017-07-19,,,,,,,,,,渋谷本店,,1,7,
101,316,448,1985,visit,2017-07-19,,,,,,,,,,銀座店,,1,8,
102,317,449,2999,visit,2017-07-19,,,,,,,,,,銀座店,,1,8,
103,318,450,3003,visit,2017-07-19,,,,,,,,,,銀座店,,1,8,
104,319,451,2301,visit,2017-07-19,,,,,,,,,,銀座店,,1,8,
105,320,452,3296,visit,2017-07-19,,,,,,,,,,池袋店,,1,8,
106,321,453,1302,visit,2017-07-19,,,,,,,,,,銀座店,,1,8,
107,322,454,3460,visit,2017-07-21,,,,,,,,,,池袋店,,1,16,
108,323,455,3409,visit,2017-07-21,,,,,,,,,,池袋店,,1,16,
109,324,456,3446,visit,2017-07-21,,,,,,,,,,池袋店,,1,16,
110,325,457,3496,visit,2017-07-21,,,,,,,,,,池袋店,,1,16,
111,326,458,826,visit,2017-07-21,,,,,,,,,,渋谷本店,,1,6,
112,327,459,1340,visit,2017-07-22,,,,,,,,,,渋谷本店,,1,13,
113,328,460,1474,visit,2017-07-22,,,,,,,,,,渋谷本店,,1,13,
114,329,461,787,visit,2017-07-22,,,,,,,,,,池袋店,,1,13,
115,330,462,2446,visit,2017-07-23,,,,,,,,,,銀座店,,1,13,
116,331,463,3277,visit,2017-07-23,,,,,,,,,,池袋店,,1,16,
117,332,464,1851,visit,2017-07-23,,,,,,,,,,横浜店,,1,13,
118,333,465,3452,visit,2017-07-23,,,,,,,,,,池袋店,,1,13,
119,334,466,2400,visit,2017-07-23,,,,,,,,,,銀座店,,1,13,
120,335,467,3266,visit,2017-07-23,,,,,,,,,,池袋店,,1,12,
121,336,468,3013,visit,2017-07-24,,,,,,,,,,銀座店,,1,13,
122,337,469,1337,visit,2017-07-24,,,,,,,,,,渋谷本店,,1,14,
123,338,470,1163,visit,2017-07-24,,,,,,,,,,渋谷本店,,1,10,
124,339,471,1623,visit,2017-07-24,,,,,,,,,,渋谷本店,,1,11,
125,340,472,905,visit,2017-07-24,,,,,,,,,,渋谷本店,,1,11,
126,341,473,1993,visit,2017-07-25,,,,,,,,,,横浜店,,1,10,
127,342,474,796,visit,2017-07-25,,,,,,,,,,横浜店,,1,10,
128,343,475,2726,visit,2017-07-25,,,,,,,,,,横浜店,,1,10,
129,344,476,3096,visit,2017-07-25,,,,,,,,,,横浜店,,1,10,
130,345,477,1061,visit,2017-07-26,,,,,,,,,,渋谷本店,,1,7,
131,346,478,1938,visit,2017-07-26,,,,,,,,,,渋谷本店,,1,9,
132,347,479,2596,visit,2017-07-26,,,,,,,,,,銀座店,,1,9,
133,348,480,2596,visit,2017-07-26,,,,,,,,,,銀座店,,1,9,
134,349,481,2969,visit,2017-07-26,,,,,,,,,,銀座店,,1,8,
135,350,482,3007,visit,2017-07-26,,,,,,,,,,銀座店,,1,8,
136,351,483,3138,visit,2017-07-27,,,,,,,,,,渋谷本店,,1,6,
137,352,484,3166,visit,2017-07-27,,,,,,,,,,渋谷本店,,1,6,
138,353,485,2942,visit,2017-07-27,,,,,,,,,,銀座店,,1,8,
139,354,486,1283,visit,2017-07-28,,,,,,,,,,渋谷本店,,1,6,
140,355,487,1682,visit,2017-07-28,,,,,,,,,,渋谷本店,,1,6,
141,356,488,1852,visit,2017-07-30,,,,,,,,,,横浜店,,1,13,
142,357,489,1008,visit,2017-07-30,,,,,,,,,,池袋店,,1,13,
143,358,490,3145,visit,2017-07-31,,,,,,,,,,池袋店,,1,13,
144,359,491,1408,visit,2017-07-31,,,,,,,,,,渋谷本店,,1,13,
145,360,492,3287,visit,2017-08-01,,,,,,,,,,池袋店,,1,9,
146,361,493,2249,visit,2017-08-01,,,,,,,,,,池袋店,,1,9,
147,362,494,3278,visit,2017-08-01,,,,,,,,,,池袋店,,1,9,
148,363,495,1408,visit,2017-08-02,,,,,,,,,,渋谷本店,,1,10,
149,364,496,1378,visit,2017-08-02,,,,,,,,,,渋谷本店,,1,8,
150,365,497,3155,visit,2017-08-02,,,,,,,,,,渋谷本店,,1,9,
151,366,498,1003,visit,2017-08-02,,,,,,,,,,渋谷本店,,1,10,
152,367,499,1283,visit,2017-08-02,,,,,,,,,,渋谷本店,,1,10,
153,368,500,834,visit,2017-08-03,,,,,,,,,,横浜店,,1,4,
154,369,501,2633,visit,2017-08-05,,,,,,,,,,横浜店,,1,13,
155,370,502,742,visit,2017-08-09,,,,,,,,,,横浜店,,1,5,
156,371,503,3104,visit,2017-08-09,,,,,,,,,,横浜店,,1,5,
157,372,504,2213,visit,2017-08-11,,,,,,,,,,渋谷本店,,1,14,
158,373,505,567,visit,2017-08-13,,,,,,,,,,横浜店,,1,13,
159,374,506,1889,visit,2017-08-14,,,,,,,,,,横浜店,,1,13,
160,375,507,298,visit,2017-08-14,,,,,,,,,,横浜店,,1,13,
161,376,508,3134,visit,2017-08-14,,,,,,,,,,渋谷本店,,1,11,
162,377,509,1254,visit,2017-08-16,,,,,,,,,,渋谷本店,,1,9,
163,378,510,1918,visit,2017-08-21,,,,,,,,,,横浜店,,1,13,
164,379,511,2112,visit,2017-08-22,,,,,,,,,,渋谷本店,,1,9,
165,380,512,1130,visit,2017-08-22,,,,,,,,,,渋谷本店,,1,13,
166,381,513,3126,visit,2017-08-24,,,,,,,,,,横浜店,,1,5,
167,382,514,1988,visit,2017-08-24,,,,,,,,,,横浜店,,1,5,
168,383,515,2074,visit,2017-08-24,,,,,,,,,,横浜店,,1,5,
169,384,516,2452,visit,2017-08-27,,,,,,,,,,銀座店,,1,13,
170,385,517,3061,visit,2017-09-02,,,,,,,,,,銀座店,,1,13,
171,386,518,3501,visit,2017-09-02,,,,,,,,,,池袋店,,1,24,
