plg_point_info_id,plg_add_point_status,plg_basic_point_rate,plg_point_conversion_rate,plg_round_type,plg_calculation_type,create_date,update_date
1,5,1,1,1,1,"2017-05-15 17:54:22","2017-05-15 17:54:22"
2,1,1,1,1,1,"2019-09-05 13:04:25","2019-09-05 13:04:25"
3,5,1,1,1,1,"2019-09-05 14:40:16","2019-09-05 14:40:16"
4,5,1,1,1,1,"2019-09-05 14:40:48","2019-09-05 14:40:48"
5,1,1,1,1,1,"2019-09-06 10:45:02","2019-09-06 10:45:02"
6,1,0,1,1,1,"2023-03-31 20:38:51","2023-03-31 20:38:51"
7,1,1,1,1,1,"2023-03-31 20:39:36","2023-03-31 20:39:36"
8,1,0,1,1,1,"2023-03-31 20:39:46","2023-03-31 20:39:46"
9,1,1,1,1,1,"2023-04-01 02:02:58","2023-04-01 02:02:58"
10,1,0,1,1,1,"2023-04-01 02:03:02","2023-04-01 02:03:02"
