page_id,target_id,block_id,block_row,anywhere
0,2,11,1,0
1,2,11,1,0
1,3,24,1,0
1,4,21,3,0
1,4,25,4,0
1,4,27,1,0
1,4,30,2,0
1,6,4,7,0
1,6,18,6,0
1,6,20,10,0
1,6,29,3,0
1,6,41,11,1
1,6,42,8,0
1,6,43,4,0
1,6,44,5,0
1,6,45,12,1
1,6,48,2,0
1,6,51,9,0
1,6,52,1,0
1,9,7,1,1
2,2,11,1,0
2,3,16,1,0
2,4,21,3,0
2,4,23,4,0
2,4,27,1,0
2,4,30,2,0
3,2,11,1,0
3,3,16,1,0
3,4,21,3,0
3,4,23,4,0
3,4,25,5,0
3,4,27,1,0
3,4,30,2,0
4,2,11,1,0
4,3,16,1,0
4,4,21,3,0
4,4,23,4,0
4,4,25,5,0
4,4,27,1,0
4,4,30,2,0
5,2,11,1,0
5,3,16,1,0
5,4,21,3,0
5,4,23,4,0
5,4,25,5,0
5,4,27,1,0
5,4,30,2,0
6,2,11,1,0
6,3,16,1,0
6,4,21,3,0
6,4,23,4,0
6,4,25,5,0
6,4,27,1,0
6,4,30,2,0
7,2,11,1,0
7,3,16,1,0
7,4,21,3,0
7,4,23,4,0
7,4,25,5,0
7,4,27,1,0
7,4,30,2,0
8,2,11,1,0
8,3,16,1,0
8,4,21,3,0
8,4,23,4,0
8,4,25,5,0
8,4,27,1,0
8,4,30,2,0
9,2,11,1,0
9,3,16,1,0
9,4,21,3,0
9,4,23,4,0
9,4,25,5,0
9,4,27,1,0
9,4,30,2,0
10,2,11,1,0
10,3,16,1,0
10,4,21,3,0
10,4,23,4,0
10,4,25,5,0
10,4,27,1,0
10,4,30,2,0
11,2,11,1,0
11,3,16,1,0
11,4,21,3,0
11,4,23,4,0
11,4,25,5,0
11,4,27,1,0
11,4,30,2,0
12,2,11,1,0
12,3,16,1,0
12,4,21,3,0
12,4,23,4,0
12,4,25,5,0
12,4,27,1,0
12,4,30,2,0
13,2,11,1,0
13,3,16,1,0
13,4,21,3,0
13,4,23,4,0
13,4,25,5,0
13,4,27,1,0
13,4,30,2,0
14,2,11,1,0
14,3,16,1,0
14,4,21,3,0
14,4,23,4,0
14,4,25,5,0
14,4,27,1,0
14,4,30,2,0
15,2,11,1,0
15,3,16,1,0
15,4,21,3,0
15,4,23,4,0
15,4,25,5,0
15,4,27,1,0
15,4,30,2,0
16,2,11,1,0
16,3,16,1,0
16,4,21,3,0
16,4,23,4,0
16,4,25,5,0
16,4,27,1,0
16,4,30,2,0
17,2,11,1,0
17,3,16,1,0
17,4,21,3,0
17,4,23,4,0
17,4,25,5,0
17,4,27,1,0
17,4,30,2,0
18,2,11,1,0
18,3,16,1,0
18,4,21,3,0
18,4,23,4,0
18,4,25,5,0
18,4,27,1,0
18,4,30,2,0
19,2,11,1,0
19,3,16,1,0
19,4,21,3,0
19,4,23,4,0
19,4,25,5,0
19,4,27,1,0
19,4,30,2,0
20,2,11,1,0
20,3,16,1,0
20,4,21,3,0
20,4,23,4,0
20,4,25,5,0
20,4,27,1,0
20,4,30,2,0
21,2,11,1,0
21,3,16,1,0
21,4,21,3,0
21,4,23,4,0
21,4,25,5,0
21,4,27,1,0
21,4,30,2,0
22,2,11,1,0
22,3,16,1,0
22,4,21,3,0
22,4,23,4,0
22,4,25,5,0
22,4,27,1,0
22,4,30,2,0
23,2,11,1,0
23,3,16,1,0
23,4,21,3,0
23,4,23,4,0
23,4,25,5,0
23,4,27,1,0
23,4,30,2,0
24,2,11,1,0
24,3,16,1,0
24,4,21,3,0
24,4,23,4,0
24,4,25,5,0
24,4,27,1,0
24,4,30,2,0
25,2,11,1,0
25,3,16,1,0
25,4,21,3,0
25,4,23,4,0
25,4,25,5,0
25,4,27,1,0
25,4,30,2,0
28,2,11,1,0
28,3,16,1,0
28,4,21,3,0
28,4,23,4,0
28,4,25,5,0
28,4,27,1,0
28,4,30,2,0
29,2,11,1,0
29,3,16,1,0
29,4,21,3,0
29,4,23,4,0
29,4,25,5,0
29,4,27,1,0
29,4,30,2,0
30,2,11,1,0
30,3,16,1,0
30,4,21,3,0
30,4,23,4,0
30,4,25,5,0
30,4,27,1,0
30,4,30,2,0
31,2,11,1,0
31,3,16,1,0
31,4,21,3,0
31,4,23,4,0
31,4,25,5,0
31,4,27,1,0
31,4,30,2,0
32,2,11,1,0
32,3,16,1,0
32,4,21,3,0
32,4,23,4,0
32,4,25,5,0
32,4,27,1,0
32,4,30,2,0
33,2,11,1,0
33,3,16,1,0
33,4,21,3,0
33,4,23,4,0
33,4,25,5,0
33,4,27,1,0
33,4,30,2,0
34,2,11,1,0
34,3,16,1,0
