category_id,parent_category_id,creator_id,category_name,level,rank,create_date,update_date,del_flg
31,,1,美容室非表示,2,54,"2019-05-01 00:00:00","2019-05-13 10:28:46",0
32,,1,着物レンタル,2,54,"2014-08-08 15:27:21","2021-10-11 13:44:13",0
34,32,1,"婚礼衣装 着物 レンタル",3,1,"2014-08-08 15:27:21","2015-04-13 13:36:27",0
35,32,1,"七五三(七歳祝着) レンタル",3,2,"2014-08-08 15:27:21","2015-04-13 13:35:57",0
36,32,1,"七五三(五歳祝着) レンタル",3,3,"2014-08-08 15:27:21","2015-04-13 13:35:47",0
37,32,1,"七五三(三歳祝着) レンタル",3,4,"2014-08-08 15:27:21","2015-04-13 13:35:29",0
38,32,1,"お宮参り 着物 レンタル",3,5,"2014-08-08 15:27:21","2015-04-13 13:35:19",0
39,32,1,紋付袴（男性用）レンタル,3,6,"2014-08-08 15:27:21","2017-06-22 18:41:51",0
40,32,1,"卒業袴 レンタル",3,7,"2014-08-08 15:27:21","2015-04-13 13:33:54",0
41,32,1,"男物 着物 レンタル",3,8,"2014-08-08 15:27:21","2015-04-13 13:33:45",0
42,32,1,"ゆかた(男性用) レンタル",3,10,"2014-08-08 15:27:21","2015-04-13 13:33:33",0
43,32,1,"ゆかた(女性用) レンタル",3,11,"2014-08-08 15:27:21","2015-04-13 13:33:25",0
44,32,1,"夏物 着物 レンタル",3,16,"2014-08-08 15:27:21","2015-04-13 13:33:16",0
45,32,1,"ひとえ レンタル",3,17,"2014-08-08 15:27:21","2015-04-13 13:32:59",0
46,32,1,"大きいサイズの着物 レンタル",3,28,"2014-08-08 15:27:21","2015-04-13 13:32:51",0
47,32,1,"紬（つむぎ） レンタル",3,29,"2014-08-08 15:27:21","2018-07-30 17:32:36",0
48,32,1,"小紋 レンタル",3,30,"2014-08-08 15:27:21","2015-04-13 13:32:14",0
49,32,1,"色無地 レンタル",3,31,"2014-08-08 15:27:21","2015-04-13 13:32:05",0
50,32,1,"訪問着 レンタル",3,32,"2014-08-08 15:27:21","2015-04-13 13:31:56",0
51,32,1,"色留袖 レンタル",3,33,"2014-08-08 15:27:21","2015-04-13 13:31:47",0
52,32,1,"黒留袖 レンタル",3,34,"2014-08-08 15:27:21","2015-04-13 13:31:29",0
53,32,1,"振袖 レンタル",3,35,"2014-08-08 15:27:21","2015-04-13 13:31:38",0
72,32,1,還暦お祝い着,3,37,"2014-08-08 15:27:21","2014-08-14 17:44:26",0
125,44,1,訪問着,4,12,"2014-08-08 15:27:21","2014-08-08 16:09:50",0
126,44,1,色無地,4,13,"2014-08-08 15:27:21","2014-08-08 16:09:50",0
127,44,1,黒留袖,4,14,"2014-08-08 15:27:21","2014-08-08 16:09:50",0
128,44,1,小紋,4,15,"2014-08-08 15:27:21","2014-08-08 16:09:50",0
154,32,1,"花嫁の振袖 レンタル",3,38,"2014-08-08 15:27:21","2015-04-13 13:36:39",0
155,32,1,"コート・羽織 レンタル",3,39,"2014-08-08 15:27:21","2015-04-13 13:36:46",0
156,32,1,"四階訪問着 レンタル",3,40,"2014-08-08 15:27:21","2015-04-13 13:36:54",0
157,32,1,喪服・その他,3,41,"2014-08-08 15:27:21","2014-08-08 16:09:50",0
158,32,1,"十三参り 着物 レンタル",3,42,"2014-08-08 15:27:21","2015-04-13 13:37:15",0
174,,1,カラー,1,63,"2014-08-08 17:48:23","2014-08-13 10:58:58",0
175,174,1,青・紺・水色,2,55,"2014-08-08 17:48:30","2014-08-14 11:18:30",0
