csv_id,csv_type,creator_id,entity_name,field_name,reference_field_name,disp_name,rank,enable_flg,create_date,update_date
1,1,1,"Eccube\Entity\Product",id,,商品ID,1,1,"2017-03-07 18:16:56","2017-03-07 18:16:56"
2,1,1,"Eccube\Entity\Product",Status,id,公開ステータス(ID),2,1,"2017-03-07 18:16:56","2017-03-07 18:16:56"
3,1,1,"Eccube\Entity\Product",Status,name,公開ステータス(名称),1,0,"2017-03-07 18:16:56","2018-08-03 13:38:34"
4,1,1,"Eccube\Entity\Product",name,,商品名,3,1,"2017-03-07 18:16:56","2018-08-03 13:38:34"
5,1,1,"Eccube\Entity\Product",note,,ショップ用メモ欄,4,1,"2017-03-07 18:16:56","2018-08-03 13:38:34"
6,1,1,"Eccube\Entity\Product",description_list,,商品説明(一覧),5,1,"2017-03-07 18:16:56","2018-08-03 13:38:34"
7,1,1,"Eccube\Entity\Product",description_detail,,商品説明(詳細),6,1,"2017-03-07 18:16:56","2018-08-03 13:38:34"
8,1,1,"Eccube\Entity\Product",search_word,,検索ワード,7,1,"2017-03-07 18:16:56","2018-08-03 13:38:34"
9,1,1,"Eccube\Entity\Product",free_area,,フリーエリア,8,1,"2017-03-07 18:16:56","2018-08-03 13:38:34"
10,1,1,"Eccube\Entity\ProductClass",id,,商品規格ID,8,0,"2017-03-07 18:16:56","2018-08-03 13:38:34"
11,1,1,"Eccube\Entity\ProductClass",ProductType,id,商品種別(ID),13,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
12,1,1,"Eccube\Entity\ProductClass",ProductType,name,商品種別(名称),2,0,"2017-03-07 18:16:56","2018-08-03 13:38:34"
13,1,1,"Eccube\Entity\ProductClass",ClassCategory1,id,規格分類1(ID),14,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
14,1,1,"Eccube\Entity\ProductClass",ClassCategory1,name,規格分類1(名称),3,0,"2017-03-07 18:16:56","2018-08-03 13:38:34"
15,1,1,"Eccube\Entity\ProductClass",ClassCategory2,id,規格分類2(ID),15,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
16,1,1,"Eccube\Entity\ProductClass",ClassCategory2,name,規格分類2(名称),4,0,"2017-03-07 18:16:56","2018-08-03 13:38:34"
17,1,1,"Eccube\Entity\ProductClass",DeliveryDate,id,発送日目安(ID),16,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
18,1,1,"Eccube\Entity\ProductClass",DeliveryDate,name,発送日目安(名称),5,0,"2017-03-07 18:16:56","2018-08-03 13:38:34"
19,1,1,"Eccube\Entity\ProductClass",code,,商品コード,17,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
20,1,1,"Eccube\Entity\ProductClass",stock,,在庫数,18,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
21,1,1,"Eccube\Entity\ProductClass",stock_unlimited,,在庫数無制限フラグ,19,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
22,1,1,"Eccube\Entity\ProductClass",sale_limit,,販売制限数,20,1,"2017-03-07 18:16:56","2018-08-30 16:57:21"
23,1,1,"Eccube\Entity\ProductClass",price01,,通常価格,21,1,"2017-03-07 18:16:56","2018-08-30 17:41:50"
24,1,1,"Eccube\Entity\ProductClass",price02,,販売価格,22,1,"2017-03-07 18:16:56","2018-08-30 17:41:50"
25,1,1,"Eccube\Entity\ProductClass",delivery_fee,,送料,23,1,"2017-03-07 18:16:56","2018-08-30 17:41:50"
26,1,1,"Eccube\Entity\Product",ProductImage,file_name,商品画像,10,1,"2017-03-07 18:16:56","2018-08-30 17:41:50"
27,1,1,"Eccube\Entity\Product",ProductCategories,category_id,商品カテゴリ(ID),11,1,"2017-03-07 18:16:56","2018-08-30 17:41:50"
28,1,1,"Eccube\Entity\Product",ProductCategories,Category,商品カテゴリ(名称),6,0,"2017-03-07 18:16:56","2018-08-03 13:38:34"
