news_id,creator_id,news_date,rank,news_title,news_comment,news_url,news_select,link_method,create_date,update_date,del_flg
1,1,"2017-05-11 00:00:00",0,「教えて店長Q&A」を更新しました,,,0,0,"2017-03-07 18:16:55","2017-05-11 18:19:38",1
2,3,"2017-02-06 00:00:00",0,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 17:59:28","2017-05-11 18:19:29",1
3,3,"2014-08-12 00:00:00",1,初めてのゆかたで花火大会へ,はじめての浴衣を着て花火大会へ♪お似合いですね。,,0,0,"2017-05-11 18:00:04","2017-05-11 18:00:04",0
4,3,"2014-08-13 00:00:00",2,ゆかたでお出かけ♪,花火大会は中止になってしまいましたが、浴衣を着ておでかけされました。,,0,0,"2017-05-11 18:00:28","2017-05-11 18:00:28",0
5,3,"2014-08-19 00:00:00",3,イギリスからのお客様,たくさんのお着物をお召しになり、喜んでいただきました。,,0,0,"2017-05-11 18:00:55","2017-05-11 18:00:55",0
6,3,"2014-08-21 00:00:00",4,ゆかたで花火大会デート,日本の夏といえば、浴衣です。,,0,0,"2017-05-11 18:01:49","2017-05-11 18:01:49",0
7,3,"2014-08-22 00:00:00",5,涼しげなゆかた姿で花火見物,夏も本番!!浴衣でお出かけしませんか!!,,0,0,"2017-05-11 18:02:15","2017-05-11 18:02:15",0
8,3,"2014-09-04 00:00:00",6,サイトをリニューアルオープンいたしました!,これからも皆様に便利でより良いサービスをご提供出来るようつとめて参ります。「着物あき」をどうぞよろしくお願い致します。,,0,0,"2017-05-11 18:02:40","2017-05-11 18:02:40",0
9,3,"2014-11-10 00:00:00",7,成人式レンタル2015をアップしました,成人式の振袖・紋付袴はあきにおまかせ下さい!　充実の特典で全力サポート!,,0,0,"2017-05-11 18:03:08","2017-05-11 18:03:08",0
10,3,"2014-12-12 00:00:00",8,卒業式レンタル2015をアップしました,人生一度の晴れ舞台を応援!　女性の卒業袴、男性の紋付袴、先生の袴もございます。,,0,0,"2017-05-11 18:03:35","2017-05-11 18:03:35",0
11,3,"2014-12-14 00:00:00",9,"[入園・卒園 入学・卒業] お母さんの着物レンタルをアップしました",卒園・卒業のシーズンのお母さまには、着物がおすすめです。,,0,0,"2017-05-11 18:04:07","2017-05-11 18:04:07",0
12,3,"2015-01-23 00:00:00",10,英語ページをリニューアルアップしました,"English website has been renewed!",,0,0,"2017-05-11 18:04:41","2017-05-11 18:04:41",0
13,3,"2015-01-23 00:00:00",11,お客様写真ギャラリーをFacebookに新設しました,着物をお召しになったお客様の写真を随時更新してまいります。,,0,0,"2017-05-11 18:05:08","2017-05-11 18:05:08",0
14,3,"2015-02-05 00:00:00",12,"お待たせしました! 2015年の成人式写真をお客様ギャラリーにアップいたしました!",,,0,0,"2017-05-11 18:06:20","2017-05-11 18:06:20",0
15,3,"2015-04-16 00:00:00",13,「教えて店長Q&A」コーナーが復活しました,,,0,0,"2017-05-11 18:10:43","2017-05-11 18:10:43",0
16,3,"2015-04-16 00:00:00",14,「昭和の着物語りについて」コーナーが復活しました,,,0,0,"2017-05-11 18:11:03","2017-05-11 18:11:03",0
17,3,"2015-06-15 00:00:00",15,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:11:23","2017-05-11 18:11:23",0
18,3,"2015-07-13 00:00:00",16,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:11:46","2017-05-11 18:11:46",0
19,3,"2015-08-05 00:00:00",17,当店の浴衣レンタルでのおもてなしが日本経済新聞に掲載されました,,,0,0,"2017-05-11 18:12:10","2017-05-11 18:12:10",0
20,3,"2015-08-06 00:00:00",18,"着物レンタル スタッフ募集",,,0,0,"2017-05-11 18:12:32","2017-05-11 18:12:32",0
21,3,"2015-09-10 00:00:00",19,2015年の七五三特集ページを掲載致しました。!!,"家族一緒がうれしい七五三!!
今年も特典をご用意してお待ちしております!!
七五三祝着、お母さんとおばあちゃんの訪問着、
お父さんと男物のレンタルなら着物レンタルあきにをご利用ください。",,0,0,"2017-05-11 18:12:57","2017-05-11 18:12:57",0
22,3,"2015-10-05 00:00:00",20,2016年の成人式特集ページを掲載致しました!!,,,0,0,"2017-05-11 18:13:14","2017-05-11 18:13:14",0
23,3,"2015-03-01 00:00:00",21,きものレンタルあきの求人情報,,,0,0,"2017-05-11 18:13:37","2017-05-11 18:13:37",0
24,3,"2015-06-15 00:00:00",22,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:13:57","2017-05-11 18:13:57",0
25,3,"2015-06-23 00:00:00",23,浴衣の新作アップしました,,,0,0,"2017-05-11 18:14:14","2017-05-11 18:14:14",0
26,3,"2015-07-20 00:00:00",24,シティリビングWebにて、人気ブロガー乾亜由美さんにご紹介いただきました【動画】,,,0,0,"2017-05-11 18:14:38","2017-05-11 18:14:38",0
27,3,"2016-08-31 00:00:00",25,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:15:00","2017-05-11 18:15:00",0
28,3,"2016-10-07 00:00:00",26,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:15:22","2017-05-11 18:15:22",0
29,3,"2016-11-01 00:00:00",27,ヘアセット、メイクアップスタッフ募集,,,0,0,"2017-05-11 18:15:51","2017-05-11 18:15:51",0
30,3,"2016-11-03 00:00:00",28,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:16:08","2017-05-11 18:16:08",0
31,3,"2016-12-02 00:00:00",29,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:16:32","2017-05-11 18:16:32",0
32,3,"2016-12-05 00:00:00",30,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:16:55","2017-05-11 18:16:55",0
33,3,"2016-12-21 00:00:00",31,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:17:19","2017-05-11 18:17:19",0
34,3,"2017-01-04 00:00:00",32,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:17:46","2017-05-11 18:17:46",0
35,3,"2017-02-06 00:00:00",33,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:19:02","2017-05-11 18:19:02",0
36,3,"2016-05-11 00:00:00",34,「教えて店長Q&A」を更新しました,,,0,0,"2017-05-11 18:19:18","2017-05-11 18:19:18",0
