product_id,category_id,rank
22,43,1
23,43,2
24,43,3
25,43,4
26,53,1
27,42,4
28,42,3
28,43,6
28,175,1
28,176,1
28,177,1
28,192,1
28,193,1
28,194,1
28,195,1
28,196,1
28,198,1
28,199,1
28,200,1
28,201,1
29,42,2
30,42,1
31,50,20
31,53,2
31,154,1
31,155,1
31,156,1
31,157,1
31,186,1
31,187,1
31,190,1
31,191,1
31,203,1
32,53,3
33,41,1
34,39,1
35,43,7
36,53,4
37,53,5
38,41,2
39,39,2
40,45,1
41,45,2
42,45,3
43,45,4
44,45,5
45,50,1
46,50,2
47,50,3
48,35,1
49,35,2
50,35,3
51,35,4
52,46,1
53,46,2
54,42,5
55,42,6
56,42,7
57,43,8
58,43,9
59,43,10
60,50,4
61,50,5
62,50,6
63,50,7
64,50,8
65,40,1
66,40,2
67,40,3
68,46,3
69,46,4
70,46,5
71,52,1
72,52,2
73,52,3
74,52,4
75,52,5
76,52,6
77,36,1
78,36,2
79,36,3
80,37,1
81,37,2
82,37,3
83,50,9
84,50,10
85,50,11
86,40,4
87,40,5
88,40,6
89,40,7
90,50,12
91,50,13
92,50,14
93,50,15
94,50,16
95,50,17
96,50,18
97,50,19
98,53,6
99,53,7
100,53,8
101,53,9
102,53,10
103,53,11
104,125,1
105,125,2
106,125,3
107,125,4
108,45,6
109,45,7
110,45,8
111,42,8
112,42,9
113,42,10
114,35,5
115,35,6
116,35,7
117,36,4
118,36,5
119,36,6
120,32,1
120,53,2
120,174,7
120,178,5
120,181,3
120,188,4
120,191,6
120,192,8
120,197,9
120,199,10
120,201,11
120,216,12
120,217,13
121,32,1
121,53,2
121,174,3
121,177,4
121,178,7
121,181,5
121,188,6
121,191,8
121,197,9
121,199,10
121,201,11
121,216,12
121,217,13
122,32,1
122,53,2
122,174,3
122,175,4
122,178,5
122,181,7
122,186,6
122,188,8
122,197,9
122,198,10
122,216,11
122,217,12
123,32,1
123,53,2
123,174,3
123,176,4
123,178,5
123,181,6
123,188,7
123,191,8
123,197,9
123,201,10
123,216,11
123,217,12
124,32,1
124,53,2
124,174,3
124,176,4
124,178,7
124,181,5
124,188,6
124,191,8
124,197,9
124,201,10
124,216,11
124,217,12
125,53,17
125,186,3
125,188,6
125,192,2
125,201,4
126,53,18
126,176,4
126,186,4
126,188,7
126,198,3
127,53,19
127,175,3
127,186,5
127,188,8
127,199,4
128,53,20
128,186,6
128,188,9
128,193,2
128,201,5
129,53,21
129,176,5
129,186,7
129,188,10
129,198,427
129,200,4
130,53,22
130,186,8
130,188,11
130,195,143
130,199,733
130,201,6
131,53,23
131,175,4
131,186,9
131,188,12
131,199,5
132,53,24
132,186,10
132,188,13
132,192,163
132,201,7
133,32,1
133,53,2
133,174,7
133,178,5
133,181,3
133,188,4
133,191,6
133,194,8
133,197,9
133,199,10
133,201,11
133,216,12
133,217,13
134,53,26
134,176,7
134,186,11
134,188,15
134,199,7
135,53,27
135,176,8
135,186,12
135,188,16
135,198,4
135,200,987
135,201,784
136,53,28
136,186,13
136,188,17
136,194,4
136,199,8
137,53,29
137,185,1
137,188,18
137,192,3
137,199,9
138,53,30
138,186,14
138,188,19
138,194,5
138,198,5
139,53,31
139,186,15
139,189,1
139,194,6
139,198,428
139,200,7
140,53,32
140,186,16
140,188,20
140,194,7
140,199,10
141,53,33
141,186,17
141,188,21
141,193,3
141,200,8
141,201,8
142,53,34
142,177,3
142,186,18
142,188,22
142,200,9
143,53,35
143,176,9
143,186,19
143,188,23
143,199,734
143,201,9
144,53,36
144,175,5
144,186,20
144,188,24
144,199,11
145,53,327
145,175,6
145,186,21
145,188,25
145,199,12
146,53,38
