plg_point_snapshot_id,plg_point_use,plg_point_current,plg_point_add,plg_point_snap_action_name,order_id,customer_id,create_date,update_date
1,0,1000,1000,ポイント(手動変更),,2654,"2017-06-14 10:40:14","2017-06-14 10:40:14"
2,0,0,378,ポイント,170,2655,"2017-06-21 10:35:16","2017-06-21 10:35:16"
3,0,0,378,ポイント,171,2655,"2017-06-21 11:17:46","2017-06-21 11:17:46"
4,0,0,378,ポイント,172,2655,"2017-06-21 11:20:24","2017-06-21 11:20:24"
5,0,0,378,ポイント,212,2655,"2017-06-24 15:38:39","2017-06-24 15:38:39"
6,0,0,918,ポイント,489,2656,"2017-08-17 10:45:24","2017-08-17 10:45:24"
7,0,0,918,ポイント,490,2656,"2017-08-17 10:48:33","2017-08-17 10:48:33"
8,0,0,594,ポイント,491,2656,"2017-08-17 10:51:56","2017-08-17 10:51:56"
9,0,0,918,ポイント,492,2656,"2017-08-17 10:59:36","2017-08-17 10:59:36"
10,0,0,432,ポイント,493,2656,"2017-08-17 11:00:50","2017-08-17 11:00:50"
11,0,0,324,ポイント,494,2656,"2017-08-17 11:03:19","2017-08-17 11:03:19"
12,0,0,378,ポイント,495,2656,"2017-08-17 11:05:09","2017-08-17 11:05:09"
13,0,0,378,ポイント,496,2656,"2017-08-17 11:08:36","2017-08-17 11:08:36"
14,0,0,1080,ポイント,497,2656,"2017-08-17 11:20:22","2017-08-17 11:20:22"
15,0,0,324,ポイント,501,2656,"2017-08-17 12:06:45","2017-08-17 12:06:45"
17,0,0,918,ポイント,503,2656,"2017-08-17 12:11:58","2017-08-17 12:11:58"
18,0,0,1134,ポイント,505,2656,"2017-08-17 12:22:07","2017-08-17 12:22:07"
19,0,0,918,ポイント,506,2656,"2017-08-17 12:41:34","2017-08-17 12:41:34"
20,0,0,108,ポイント,507,2656,"2017-08-17 12:42:22","2017-08-17 12:42:22"
21,0,0,1080,ポイント,508,2656,"2017-08-17 14:22:47","2017-08-17 14:22:47"
22,0,0,432,ポイント,510,2656,"2017-08-17 15:43:47","2017-08-17 15:43:47"
23,0,0,378,ポイント,511,2656,"2017-08-17 16:19:43","2017-08-17 16:19:43"
24,0,0,324,ポイント,512,2656,"2017-08-17 16:29:14","2017-08-17 16:29:14"
25,0,0,108,ポイント,513,2656,"2017-08-17 16:42:43","2017-08-17 16:42:43"
26,0,0,216,ポイント,514,2656,"2017-08-17 16:47:18","2017-08-17 16:47:18"
27,0,0,1080,ポイント,515,2656,"2017-08-17 17:06:16","2017-08-17 17:06:16"
28,0,0,432,ポイント,516,2656,"2017-08-17 17:12:58","2017-08-17 17:12:58"
29,0,0,1026,ポイント,517,2656,"2017-08-17 17:13:44","2017-08-17 17:13:44"
30,0,0,918,ポイント,518,2656,"2017-08-17 17:19:42","2017-08-17 17:19:42"
31,0,0,1080,ポイント,519,2656,"2017-08-17 17:21:05","2017-08-17 17:21:05"
32,0,0,216,ポイント,520,2656,"2017-08-17 17:34:41","2017-08-17 17:34:41"
33,0,0,1080,ポイント,521,2656,"2017-08-17 17:37:22","2017-08-17 17:37:22"
34,0,0,918,ポイント,522,2656,"2017-08-17 18:40:41","2017-08-17 18:40:41"
35,0,0,540,ポイント,523,2656,"2017-08-17 18:42:08","2017-08-17 18:42:08"
36,0,0,108,ポイント,524,2656,"2017-08-17 19:21:43","2017-08-17 19:21:43"
37,0,0,2538,ポイント,526,2656,"2017-08-21 15:17:07","2017-08-21 15:17:07"
38,0,0,1685,ポイント,527,2656,"2017-08-21 15:31:52","2017-08-21 15:31:52"
39,0,0,1048,ポイント,528,2656,"2017-08-21 15:44:57","2017-08-21 15:44:57"
40,0,0,1264,ポイント,529,2656,"2017-08-21 16:00:42","2017-08-21 16:00:42"
41,0,0,551,ポイント,530,2656,"2017-08-21 16:06:28","2017-08-21 16:06:28"
42,0,0,335,ポイント,531,2656,"2017-08-21 16:08:08","2017-08-21 16:08:08"
43,0,0,443,ポイント,532,2656,"2017-08-21 16:14:39","2017-08-21 16:14:39"
44,0,0,335,ポイント,534,2656,"2017-08-21 16:16:36","2017-08-21 16:16:36"
45,0,0,443,ポイント,536,2656,"2017-08-21 16:39:33","2017-08-21 16:39:33"
46,0,0,2538,ポイント,540,2656,"2017-08-21 19:00:20","2017-08-21 19:00:20"
47,0,0,659,ポイント,541,2656,"2017-08-21 19:09:53","2017-08-21 19:09:53"
48,0,0,756,ポイント,542,2656,"2017-08-21 19:11:39","2017-08-21 19:11:39"
50,0,0,821,ポイント,544,2656,"2017-08-21 19:17:48","2017-08-21 19:17:48"
51,0,0,864,ポイント,545,2656,"2017-08-21 19:20:22","2017-08-21 19:20:22"
52,0,0,929,ポイント,558,2656,"2017-08-22 14:31:05","2017-08-22 14:31:05"
53,0,0,929,ポイント,563,2656,"2017-08-22 16:04:46","2017-08-22 16:04:46"
54,0,0,216,ポイント,564,2656,"2017-08-22 16:06:09","2017-08-22 16:06:09"
55,0,0,918,ポイント,578,2656,"2017-08-23 15:19:54","2017-08-23 15:19:54"
56,0,0,1739,ポイント,580,2656,"2017-08-23 15:27:05","2017-08-23 15:27:05"
57,0,0,1998,ポイント,584,2656,"2017-08-23 17:26:53","2017-08-23 17:26:53"
58,0,0,1253,ポイント,586,2656,"2017-08-23 18:07:09","2017-08-23 18:07:09"
59,0,0,1080,ポイント,588,2656,"2017-08-24 14:54:36","2017-08-24 14:54:36"
60,0,0,1080,ポイント,590,2656,"2017-08-24 15:20:09","2017-08-24 15:20:09"
61,0,0,1037,ポイント,593,2656,"2017-08-24 16:09:21","2017-08-24 16:09:21"
62,0,0,1080,ポイント,594,2657,"2017-08-24 17:09:48","2017-08-24 17:09:48"
63,0,0,1026,ポイント,595,2656,"2017-08-24 18:22:05","2017-08-24 18:22:05"
64,0,0,702,ポイント,598,2656,"2017-08-24 18:33:47","2017-08-24 18:33:47"
65,0,0,540,ポイント,599,2656,"2017-08-24 18:44:27","2017-08-24 18:44:27"
66,0,0,964,ポイント,600,2656,"2017-08-24 19:14:44","2017-08-24 19:14:44"
67,0,0,964,ポイント,604,2656,"2017-08-25 15:18:19","2017-08-25 15:18:19"
68,0,0,1068,ポイント,609,2656,"2017-08-25 15:27:07","2017-08-25 15:27:07"
69,0,0,532,ポイント,610,2656,"2017-08-25 15:32:40","2017-08-25 15:32:40"
70,0,0,543,ポイント,611,2656,"2017-08-25 15:38:54","2017-08-25 15:38:54"
71,0,0,435,ポイント,612,2656,"2017-08-25 15:53:35","2017-08-25 15:53:35"
72,0,0,435,ポイント,613,2656,"2017-08-25 16:15:36","2017-08-25 16:15:36"
73,0,0,651,ポイント,614,2656,"2017-08-25 16:17:17","2017-08-25 16:17:17"
74,0,0,651,ポイント,615,2656,"2017-08-25 16:19:55","2017-08-25 16:19:55"
75,0,0,543,ポイント,616,2656,"2017-08-25 16:28:52","2017-08-25 16:28:52"
76,0,0,651,ポイント,617,2656,"2017-08-25 16:30:55","2017-08-25 16:30:55"
77,0,0,543,ポイント,618,2656,"2017-08-25 16:34:13","2017-08-25 16:34:13"
78,0,0,964,ポイント,619,2656,"2017-08-25 16:35:55","2017-08-25 16:35:55"
79,0,0,1191,ポイント,622,2656,"2017-08-25 16:40:57","2017-08-25 16:40:57"
80,0,0,651,ポイント,623,2656,"2017-08-25 16:43:11","2017-08-25 16:43:11"
81,0,0,489,ポイント,624,2656,"2017-08-25 16:45:17","2017-08-25 16:45:17"
82,0,0,543,ポイント,625,2656,"2017-08-25 16:47:45","2017-08-25 16:47:45"
83,0,0,975,ポイント,626,2656,"2017-08-25 16:51:09","2017-08-25 16:51:09"
84,0,0,651,ポイント,627,2656,"2017-08-25 16:53:23","2017-08-25 16:53:23"
85,0,0,932,ポイント,628,2656,"2017-08-25 16:55:03","2017-08-25 16:55:03"
86,0,0,435,ポイント,633,2656,"2017-08-25 17:34:56","2017-08-25 17:34:56"
87,0,0,119,ポイント,634,2656,"2017-08-25 17:47:06","2017-08-25 17:47:06"
88,0,0,532,ポイント,635,2656,"2017-08-25 18:03:52","2017-08-25 18:03:52"
89,0,0,119,ポイント,636,2656,"2017-08-25 18:05:05","2017-08-25 18:05:05"
90,0,0,1191,ポイント,637,2656,"2017-08-25 18:16:09","2017-08-25 18:16:09"
91,0,0,489,ポイント,638,2656,"2017-08-25 18:27:34","2017-08-25 18:27:34"
92,0,0,489,ポイント,639,2656,"2017-08-25 18:34:14","2017-08-25 18:34:14"
93,0,0,378,ポイント,640,2657,"2017-08-25 18:38:05","2017-08-25 18:38:05"
94,0,0,532,ポイント,641,2657,"2017-08-25 18:39:15","2017-08-25 18:39:15"
